ID,Nama,Spesialis,Lokasi,Rating,Ulasan,Tarif,Kategori Jarak,Jarak (Km)
d4a6fb1b-9c2e-4845-a1d7-a624245d0a95,Bakianto Haryanto,Reparasi Saluran Air,Bogor,4.768345503419621,54,133650,Dekat,2.597988618286617
66188b5f-0ad3-4188-b3b4-c39e1d58827b,Harsana Mulyani,Reparasi Aksesoris,Depok,4.900727634069196,38,117832,Dekat,2.939568322262894
5478bb24-d986-45d0-a058-799eb876d5f3,Hardi Megantara,Reparasi Lantai dan Dinding,Jakarta,4.189699971459081,51,105656,Jauh,19.224584417794922
14eeed69-33a0-434f-8959-4e89bc8e123c,Garan Hidayanto,Reparasi Lantai dan Dinding,Jakarta,4.515179706593393,54,102049,Dekat,0.41219618776508815
747126dc-ac3e-4946-8d1f-5627a6b6e2b8,Jabal Marpaung,Reparasi Atap,Jakarta,3.8951903179440275,50,101975,Dekat,2.497379054149333
e1c4d6f5-c11b-42c1-b4df-7dd1ea755349,Nugraha Laksmiwati,Reparasi Saluran Air,Bogor,4.694956662197036,46,129034,Dekat,0.679197109072175
fcee8a83-c1c7-4f7f-a305-3cf37fde5d4c,Tedi Wulandari,Instalasi Listrik,Bogor,5.0,46,134535,Dekat,0.8966130600585821
ab9d200c-dff7-4f95-adb8-fc0836f0df47,Damar Lestari,Instalasi Listrik,Jakarta,4.251693001516711,45,133271,Sedang,4.205095183870895
11310ebb-32b9-4683-ba9a-19872bd64d0e,Adikara Kuswoyo,Reparasi Aksesoris,Bogor,4.9107889895530406,42,110982,Dekat,1.5016424890499822
67cdb32c-0a84-412a-b3a6-057ecc8628d3,Jatmiko Widiastuti,Reparasi Atap,Depok,4.144890133168008,36,125912,Dekat,1.7245898109717506
51336149-120f-4229-b759-566a784a8eba,Satya Habibi,Instalasi Listrik,Bogor,4.656718468902556,50,110867,Sedang,8.818843853232092
6963b441-2dce-41ee-ac87-046e629f785e,Oskar Pradana,Instalasi Listrik,Bogor,4.79075905891274,42,119880,Dekat,1.520777773515888
bea54927-8841-46c6-bc2d-e1f7d08ce495,Laksana Novitasari,Reparasi Aksesoris,Bogor,5.0,45,101996,Dekat,1.461725962646938
cc3472a8-31f3-452f-a117-9a20ef9adb67,Saka Winarno,Reparasi Atap,Tangerang,4.699686952422744,58,138385,Dekat,2.770547473088463
5d26f1de-aa95-4e6f-99b4-0def1da6d138,Kasim Rahimah,Reparasi Atap,Bogor,5.0,45,143712,Dekat,2.689982561078566
863aa834-0c38-49ad-abfe-a0e0ef17d062,Gantar Sirait,Instalasi Listrik,Jakarta,4.184266476908783,39,125220,Dekat,2.182395854111241
360d0e0b-857f-437e-ada5-41fa17dfd5b5,Asmuni Farida,Instalasi Listrik,Tangerang,4.652464942338501,51,124899,Dekat,0.5921210240921057
1202fdce-4206-4600-bf5e-123f7d368b6a,Jagaraga Samosir,Reparasi Saluran Air,Tangerang,4.869009037244397,45,115294,Sedang,7.410941310435394
8673a41e-e5ee-43c9-a65f-735da00fc950,Sabri Hastuti,Reparasi Saluran Air,Jakarta,4.307117365144251,39,139830,Jauh,11.069271824805483
6a0aafa5-9981-4ce6-897e-5337a79ff29b,Jumadi Puspita,Reparasi Lantai dan Dinding,Bekasi,4.5557802474250435,46,109418,Dekat,0.7741024089039397
0b0a346d-1aca-4b79-baab-fe25bf886115,Kanda Iswahyudi,Reparasi Aksesoris,Bogor,4.255826546279792,46,116698,Dekat,2.0143230019432385
